title,body,date,url,source,image,compound
"Down 89%, Could This Tech Stock Be the Ultimate Bear ...","Affirm Holdings (AFRM 2.58%) is a provider of buy now, pay later (BNPL) loans, an installment-based consumer finance product that has surged in popularity over...",2022-11-16,https://www.fool.com/investing/2022/11/16/down-89-could-tech-stock-ultimate-bear-market-buy/,The Motley Fool,https://audiospace-1-u9912847.deta.app/getnewspic?id=McFERyWruBIFGiQXWWAW1701422089.7282877,-0.018449414333333334
Better Fintech Stock: Upstart vs. The company,"Leo Sun has no position in any of the stocks mentioned. The Motley Fool has positions in and recommends Affirm Holdings, Inc., Shopify, and Upstart Holdings,...",2022-08-08,https://www.fool.com/investing/2022/08/08/better-fintech-stock-upstart-vs-affirm/,The Motley Fool,https://audiospace-1-u9912847.deta.app/getnewspic?id=iExjYQvCYYocrhHApwsO1701422089.8017857,0.906288393
The company Holdings Stock (NASDAQ:AFRM): Wrong Fintech Pick ...,"Now, the company is facing the consequences of its missteps, and AFRM stock could easily continue to slide in 2023. Share. A+. A-.",2023-02-22,https://www.tipranks.com/news/article/affirm-holdings-stock-wrong-fintech-pick-for-2023,Tipranks,https://audiospace-1-u9912847.deta.app/getnewspic?id=R2OmSaItVV0B6uptn3kM1701422089.1587048,-0.4585137525
KKR leads $100 million investment round in Cross River Bank,"... Affirm Inc, money transfer company TransferWise and cryptocurrency exchange Coinbase. ... Companies like Affirm and TransferWise are part of a growing cohort of...",2018-12-06,https://www.reuters.com/article/us-fintec-kkr-crossriver-idUSKBN1O5163,Reuters,https://audiospace-1-u9912847.deta.app/getnewspic?id=IaF33Z7mO2BZLplQgWjN1701422089.2009559,0.2878119925
The company's Users Are Falling Behind on Payments,Affirm is a lender and a middleman that connects other lenders with its users. The company offers loans from Cross River Bank and Celtic Bank. At the end of...,2021-10-14,https://www.fool.com/insurance/life/2021/10/14/affirms-users-are-falling-behind-on-payments/,The Motley Fool,https://audiospace-1-u9912847.deta.app/getnewspic?id=3NV7SXpnlz5Ic3u8YImo1701422089.2439556,-0.2798855185
"'Buy Now, Pay Later' Is the Victim of its Own Success","Affirm offers other types of loans, such as monthly installments at 10 percent interest. A spokesperson for the company said B.N.P.L. was “the beginning of a...",2023-01-28,https://www.nytimes.com/2023/01/28/business/dealbook/buy-now-pay-later-struggles.html,The New York Times,https://audiospace-1-u9912847.deta.app/getnewspic?id=ko87B8m48RSEfuKLDrzJ1701422089.2924411,0.27956160466666663
KAYAK and The company Partner to Help Travelers Book Now and ...,... Affirm the company's exclusive pay-over-time provider in the U.S. Now travelers have greater spending power and payment flexibility when booking trips on KAYAK.,2023-01-25,https://www.retaildive.com/press-release/20230125-kayak-and-affirm-partner-to-help-travelers-book-now-and-pay-over-time/,Retail Dive,https://audiospace-1-u9912847.deta.app/getnewspic?id=q2dzPX429uJwWBryak0F1701422089.347723,0.2622099786666667
The Colorful Life and Career of The company's Max Levchin,"Levchin founded Affirm in 2012. The company was born out of HVF, an exploration company Levchin founded to create and fund companies that leveraged large data...",2021-01-07,https://www.businessinsider.com/the-colorful-life-and-career-of-affirms-max-levchin-2021-1,Business Insider,https://audiospace-1-u9912847.deta.app/getnewspic?id=UKCMhse6Rophxrr9j0Ko1701422089.393668,0.309915832
The company’s New Debit Card Blurs The Lines With Credit,"Affirm reported $204 million in revenue last quarter, a 57 percent year-over-year increase. The company went public late last year and has a market cap of over...",2021-02-25,https://www.bankrate.com/finance/credit-cards/affirm-debit-card/,Bankrate,https://audiospace-1-u9912847.deta.app/getnewspic?id=73xDGYegWxpF3BS2GguV1701422089.4767754,-0.158329288
Walmart ditching layaway option for 2021 holiday season,"WALMART INC. 156.10, -2.61, -1.64%. Instead, Walmart customers purchasing items online can now choose Affirm as a payment method at checkout...",2021-09-23,https://www.foxbusiness.com/retail/walmart-layaway-affirm-holiday-season,Fox Business,https://audiospace-1-u9912847.deta.app/getnewspic?id=ChMLU7CtuaREgqsCt6NA1701422089.5497625,0.017383500999999996
